TIME,CH3
-3.4e-05,0.04
-3.3584e-05,0.04
-3.3576e-05,0.02
-3.3568e-05,0.06
-3.356e-05,0.02
-3.352e-05,0.02
-3.3512e-05,0.04
-3.2976e-05,0.04
-3.2968e-05,0.06
-3.296e-05,0.06
-3.2952e-05,0.02
-3.2944e-05,0.04
-3.2936e-05,0.04
-3.2928e-05,0.06
-3.292e-05,0.06
-3.2912e-05,0.02
-3.2696e-05,0.02
-3.2688e-05,0.06
-3.2608e-05,0.06
-3.26e-05,0.04
-3.1936e-05,0.08
-3.1928e-05,0.04
-3.172e-05,0.04
-3.1712e-05,0.02
-3.1696e-05,0.06
-3.1648e-05,0.02
-3.1536e-05,0.06
-3.1528e-05,0.02
-3.1472e-05,0.02
-3.1464e-05,0.04
-3.0696e-05,0.04
-3.0688e-05,0.06
-3.0672e-05,0.02
-3.0664e-05,0.06
-3.0496e-05,0.02
-3.0472e-05,0.06
-3.0464e-05,0.02
-3.0456e-05,0.04
-3e-05,0.04
-2.9992e-05,0.06
-2.9984e-05,0.02
-2.9976e-05,0.06
-2.9952e-05,0.06
-2.9944e-05,0.04
-2.924e-05,0.04
-2.9232e-05,0
-2.9224e-05,0.02
-2.8904e-05,0.02
-2.8896e-05,0.06
-2.8888e-05,0.04
-2.8712e-05,0.04
-2.8704e-05,0.08
-2.8688e-05,0.08
-2.868e-05,0.06
-2.8656e-05,0.06
-2.8648e-05,0.04
-2.8592e-05,0.08
-2.8584e-05,0.04
-2.848e-05,0.04
-2.8472e-05,0.06
-2.8456e-05,0.02
-2.812e-05,0.06
-2.8112e-05,0.02
-2.7104e-05,0.06
-2.7096e-05,0.02
-2.7056e-05,0.02
-2.7048e-05,0.06
-2.704e-05,0.04
-2.536e-05,0.08
-2.5352e-05,0.04
-2.5e-05,0.04
-2.4992e-05,0.02
-2.4984e-05,0.02
-2.4976e-05,0.06
-2.468e-05,0.06
-2.4672e-05,0.02
-2.4464e-05,0.02
-2.4456e-05,0.04
-2.4416e-05,0.04
-2.4408e-05,0.06
-2.4392e-05,0.02
-2.384e-05,0.06
-2.3832e-05,0.02
-2.3824e-05,0.04
-2.3496e-05,0.04
-2.3488e-05,0.08
-2.348e-05,0.02
-2.3472e-05,0.02
-2.3464e-05,0.06
-2.3456e-05,0.04
-2.3344e-05,0.04
-2.3336e-05,0.02
-2.3328e-05,0.02
-2.332e-05,0.06
-2.3312e-05,0.04
-2.192e-05,0.04
-2.1912e-05,0.02
-2.1896e-05,0.06
-2.1888e-05,0.02
-2.1864e-05,0.06
-2.1856e-05,0.02
-2.1848e-05,0.04
-2.1312e-05,0.04
-2.1304e-05,0.06
-2.1296e-05,0.06
-2.1288e-05,0.02
-2.128e-05,0.04
-2.1064e-05,0.04
-2.1056e-05,0.08
-2.1048e-05,0.06
-2.0992e-05,0.02
-2.0984e-05,0.06
-2.0976e-05,0.04
-2.068e-05,0.04
-2.0672e-05,0.08
-2.0664e-05,0.06
-2.0656e-05,0.02
-2.0648e-05,0.04
-1.8504e-05,0.04
-1.8496e-05,0.06
-1.8488e-05,0.02
-1.848e-05,0.06
-1.8472e-05,0.02
-1.8432e-05,0.02
-1.8424e-05,0.04
-1.692e-05,0.04
-1.6912e-05,0.06
-1.6896e-05,0.02
-1.6888e-05,0.06
-1.6384e-05,0.06
-1.6376e-05,0.02
-1.5928e-05,0.02
-1.592e-05,0.04
-1.5512e-05,0.04
-1.5504e-05,0.06
-1.5496e-05,0.02
-1.548e-05,0.06
-1.5472e-05,0.02
-1.5464e-05,0.04
-1.5176e-05,0.04
-1.5168e-05,0.06
-1.516e-05,0.02
-1.5096e-05,0.06
-1.5088e-05,0.02
-1.5e-05,0.02
-1.4992e-05,0.04
-1.4976e-05,0.04
-1.4968e-05,0.06
-1.496e-05,0.02
-1.492e-05,0.06
-1.4904e-05,0.02
-1.4896e-05,0.06
-1.4848e-05,0.06
-1.484e-05,0.02
-1.4832e-05,0.04
-1.4152e-05,0.04
-1.4144e-05,0.06
-1.4136e-05,0.06
-1.4128e-05,0.02
-1.4064e-05,0.02
-1.4056e-05,0.04
-1.352e-05,0.04
-1.3512e-05,0.06
-1.3488e-05,0.02
-1.1792e-05,0.06
-1.1784e-05,0.02
-1.1656e-05,0.02
-1.1648e-05,0.04
-1.1488e-05,0
-1.148e-05,0.04
-1.1352e-05,0.04
-1.1344e-05,0.06
-1.1336e-05,0.06
-1.1328e-05,0.02
-1.0952e-05,0.02
-1.0944e-05,0.06
-1.0936e-05,0.06
-1.0928e-05,0.02
-1.0496e-05,0.02
-1.0488e-05,0.04
-9.624e-06,0.04
-9.616e-06,0.06
-9.6e-06,0.02
-9.592e-06,0.06
-9.584e-06,0.04
-8.8e-06,0.04
-8.792e-06,0.02
-8.784e-06,0.06
-8.776e-06,0.02
-8.768e-06,0.04
-8.192e-06,0.04
-8.184e-06,0.06
-8.176e-06,0.02
-8.168e-06,0.02
-8.16e-06,0.04
-7.088e-06,0.04
-7.08e-06,0.06
-7.072e-06,0.06
-7.064e-06,0.02
-6.832e-06,0.02
-6.824e-06,0.06
-6.76e-06,0.06
-6.752e-06,0.02
-6.72e-06,0.02
-6.712e-06,0.06
-6.68e-06,0.06
-6.672e-06,0.04
-6.592e-06,0.04
-6.584e-06,0.02
-6.576e-06,0.02
-6.568e-06,0.06
-6.336e-06,0.06
-6.328e-06,0.02
-6.32e-06,0.02
-6.312e-06,0.04
-6.192e-06,0.04
-6.184e-06,0.06
-6.176e-06,0.06
-6.168e-06,0.02
-6.16e-06,0.04
-5.312e-06,0.04
-5.304e-06,0.12
-5.296e-06,0.12
-5.288e-06,0.04
-5.28e-06,0
-5.272e-06,0.04
-5.256e-06,0.04
-5.248e-06,0.02
-5.24e-06,0.02
-5.232e-06,0
-5.224e-06,0.06
-5.216e-06,0.06
-5.208e-06,0.04
-4.088e-06,0.08
-4.032e-06,0.04
