TIME,CH3,CH3 Peak Detect
-3.25360e-05,0.04,0.02
-3.25280e-05,0.04,0.06
-3.25200e-05,0.04,0.02
-3.25120e-05,0.04,0.04
-3.25040e-05,0.04,0.02
-3.24960e-05,0.04,0.06
-3.24880e-05,0.04,0.02
-3.24800e-05,0.06,0.06
-3.24720e-05,0.04,0.02
-3.24640e-05,0.04,0.06
-3.24560e-05,0.04,0.02
-3.24480e-05,0.06,0.06
-3.24400e-05,0.04,0.02
-3.24320e-05,0.04,0.06
-3.24240e-05,0.04,0.02
-3.24160e-05,0.04,0.04
-3.24080e-05,0.04,0.02
-3.24000e-05,0.02,0.06
-3.23920e-05,0.04,0.02
-3.23840e-05,0.04,0.04
-3.23760e-05,0.04,0.02
-3.23680e-05,0.04,0.06
-3.23600e-05,0.04,0.02
-3.23520e-05,0.02,0.04
-3.23440e-05,0.04,0.02
-3.23360e-05,0.02,0.06
-3.23280e-05,0.02,0.02
-3.23200e-05,0.04,0.06
-3.23120e-05,0.04,0.02
-3.23040e-05,0.02,0.06
-3.22960e-05,0.04,0.02
-3.22880e-05,0.02,0.06
-3.22800e-05,0.04,-3.33786e-08
-3.22720e-05,0.04,0.06
-3.22640e-05,0.02,0.02
-3.22560e-05,0.04,0.06
-3.22480e-05,0.04,0.02
-3.22400e-05,0.04,0.06
-3.22320e-05,0.04,0.02
-3.22240e-05,0.06,0.06
-3.22160e-05,0.04,0.02
-3.22080e-05,0.04,0.06
-3.22000e-05,0.04,0.02
-3.21920e-05,0.04,0.06
-3.21840e-05,0.04,0.02
-3.21760e-05,0.04,0.04
-3.21680e-05,0.04,0.02
-3.21600e-05,0.04,0.04
-3.21520e-05,0.04,0.02
-3.21440e-05,0.06,0.06
-3.21360e-05,0.06,0.02
-3.21280e-05,0.06,0.06
-3.21200e-05,0.04,0.02
-3.21120e-05,0.02,0.06
-3.21040e-05,0.04,0.02
-3.20960e-05,0.04,0.04
-3.20880e-05,0.04,-3.33786e-08
-3.20800e-05,0.04,0.06
-3.20720e-05,0.04,0.02
-3.20640e-05,0.04,0.06
-3.20560e-05,0.06,-3.33786e-08
-3.20480e-05,0.04,0.04
-3.20400e-05,0.06,0.02
-3.20320e-05,0.04,0.06
-3.20240e-05,0.04,0.02
-3.20160e-05,0.06,0.06
-3.20080e-05,0.04,0.02
-3.20000e-05,0.04,0.06
-3.19920e-05,0.04,-3.33786e-08
-3.19840e-05,0.04,0.06
-3.19760e-05,0.04,0.02
-3.19680e-05,0.04,0.06
-3.19600e-05,0.06,0.02
-3.19520e-05,0.04,0.06
-3.19440e-05,0.04,0.02
-3.19360e-05,0.08,0.06
-3.19280e-05,0.04,-3.33786e-08
-3.19200e-05,0.04,0.08
-3.19120e-05,0.04,0.02
-3.19040e-05,0.02,0.06
-3.18960e-05,0.04,0.02
-3.18880e-05,0.04,0.06
-3.18800e-05,0.04,0.02
-3.18720e-05,0.04,0.06
-3.18640e-05,0.06,0.02
-3.18560e-05,0.04,0.06
-3.18480e-05,0.02,0.02
-3.18400e-05,0.04,0.06
-3.18320e-05,0.04,0.02
-3.18240e-05,0.06,0.06
-3.18160e-05,0.04,0.02
-3.18080e-05,0.04,0.06
-3.18000e-05,0.04,0.02
-3.17920e-05,0.02,0.04
-3.17840e-05,0.04,0.02
-3.17760e-05,0.04,0.06
-3.17680e-05,0.06,0.02
-3.17600e-05,0.04,0.04
-3.17520e-05,0.04,0.02
-3.17440e-05,0.04,0.06
-3.17360e-05,0.04,0.02
-3.17280e-05,0.04,0.04
-3.17200e-05,0.04,0.02
-3.17120e-05,0.02,0.06
-3.17040e-05,0.02,0.02
-3.16960e-05,0.06,0.04
-3.16880e-05,0.04,-3.33786e-08
-3.16800e-05,0.04,0.06
-3.16720e-05,0.04,0.02
-3.16640e-05,0.04,0.06
-3.16560e-05,0.06,0.02
-3.16480e-05,0.02,0.04
-3.16400e-05,0.04,0.02
-3.16320e-05,0.04,0.06
-3.16240e-05,0.04,-3.33786e-08
-3.16160e-05,0.04,0.06
-3.16080e-05,0.06,0.02
-3.16000e-05,0.04,0.04
-3.15920e-05,0.04,0.02
-3.15840e-05,0.04,0.06
-3.15760e-05,0.04,0.02
-3.15680e-05,0.02,0.06
-3.15600e-05,0.04,0.02
-3.15520e-05,0.02,0.06
-3.15440e-05,0.02,0.02
-3.15360e-05,0.06,0.06
-3.15280e-05,0.02,0.02
-3.15200e-05,0.04,0.06
-3.15120e-05,0.02,0.02
-3.15040e-05,0.04,0.04
-3.14960e-05,0.02,0.02
-3.14880e-05,0.02,0.04
-3.14800e-05,0.04,0.02
-3.14720e-05,0.02,0.04
-3.14640e-05,0.04,0.02
-3.14560e-05,0.06,0.04
-3.14480e-05,0.04,-3.33786e-08
-3.14400e-05,0.02,0.06
-3.14320e-05,0.04,0.02
-3.14240e-05,0.04,0.04
-3.14160e-05,0.04,0.02
-3.14080e-05,0.04,0.04
-3.14000e-05,0.04,0.02
-3.13920e-05,0.06,0.04
-3.13840e-05,0.04,0.02
-3.13760e-05,0.04,0.06
-3.13680e-05,0.06,0.02
-3.13600e-05,0.04,0.04
-3.13520e-05,0.04,0.02
-3.13440e-05,0.04,0.06
-3.13360e-05,0.04,0.02
-3.13280e-05,0.04,0.06
-3.13200e-05,0.04,0.02
-3.13120e-05,0.04,0.06
-3.13040e-05,0.04,0.02
-3.12960e-05,0.04,0.04
-3.12880e-05,0.04,0.02
-3.12800e-05,0.04,0.04
-3.12720e-05,0.04,0.02
-3.12640e-05,0.04,0.06
-3.12560e-05,0.04,0.02
