TIME,CH3
-0.001352,0.0799999
-0.00116048,0.0799999
-0.00104605,0.0799999
-0.00100525,0.0799999
-0.000829472,0.0799999
-0.000705312,0.0799999
-0.000628832,0.0799999
-0.000623872,0.0799999
-0.000578112,0.0799999
-0.000456096,0.0799999
-0.000341376,0.0799999
-0.000294848,0.0799999
-0.0002696,0.0799999
-0.000243136,0.0799999
-0.000204032,0.0799999
-0.000204,0.8
-0.000203968,1.2
-0.000203936,1.2
-0.000203904,1.28
-0.000203872,1.52
-0.00020384,1.84
-0.000203808,2.16
-0.000203776,2.32
-0.000203744,2.56
-0.000203712,2.64
-0.00020368,2.8
-0.000203648,2.88
-0.000203616,2.96
-0.000203584,3.04
-0.000203552,3.04
-0.00020352,3.12
-0.000203488,3.12
-0.000203456,3.2
-0.000202464,3.2
-0.000202432,3.28
-0.00019728,3.28
-0.00019248,3.28
-0.000192448,3.36
-0.000190976,3.36
-0.000190944,2.72
-0.000190912,2.24
-0.00019088,1.84
-0.000190848,1.44
-0.000190816,1.12
-0.000190784,0.88
-0.000190752,0.72
-0.00019072,0.48
-0.000190688,0.4
-0.000190656,0.32
-0.000190624,0.16
-0.000177984,0.16
-0.000177952,0.0799999
-0.00017792,1.28
-0.000177888,1.2
-0.000177856,1.36
-0.000177824,1.76
-0.000177792,2.0
-0.00017776,2.24
-0.000177728,2.48
-0.000177696,2.64
-0.000177664,2.8
-0.000177632,2.88
-0.0001776,2.96
-0.000177568,3.04
-0.000177536,3.04
-0.000177504,3.12
-0.000177472,3.12
-0.00017744,3.2
-0.000176352,3.2
-0.00017632,3.28
-0.000173504,3.28
-0.000171328,3.28
-0.000166464,3.28
-0.000166432,3.36
-0.000164896,3.36
-0.000164864,2.56
-0.000164832,2.08
-0.0001648,1.6
-0.000164768,1.28
-0.000164736,0.96
-0.000164704,0.8
-0.000164672,0.56
-0.00016464,0.48
-0.000164608,0.32
-0.000164576,0.24
-0.000164544,0.16
-0.000151968,0.16
-0.000151936,0.0799999
-0.000151904,0.0799999
-0.000151872,1.12
-0.00015184,1.2
-0.000151808,1.2
-0.000151776,1.6
-0.000151744,1.84
-0.000151712,2.16
-0.00015168,2.32
-0.000151648,2.56
-0.000151616,2.72
-0.000151584,2.8
-0.000151552,2.96
-0.00015152,3.04
-0.000151488,3.04
-0.000151456,3.12
-0.000151424,3.12
-0.000151392,3.2
-0.000150304,3.2
-0.000150272,3.28
-0.000145408,3.28
-0.000143424,3.28
-0.000143296,3.28
-0.000143264,3.36
-0.000139072,3.36
-0.00013888,3.36
-0.000138848,2.88
-0.000138816,2.56
-0.000138784,2.24
-0.000138752,1.76
-0.00013872,1.44
-0.000138688,1.12
-0.000138656,0.88
-0.000138624,0.72
-0.000138592,0.48
-0.00013856,0.4
-0.000138528,0.32
-0.000138496,0.16
-0.000126112,0.16
-0.00012592,0.16
-0.000125888,0.0799999
-0.000125856,0.0799999
-0.000125824,0.56
-0.000125792,1.2
-0.00012576,1.2
-0.000125728,1.28
-0.000125696,1.6
-0.000125664,1.92
-0.000125632,2.16
-0.0001256,2.4
-0.000125568,2.56
-0.000125536,2.72
-0.000125504,2.8
-0.000125472,2.96
-0.00012544,2.96
-0.000125408,3.04
-0.000125376,3.04
-0.000125344,3.12
-0.000125312,3.12
-0.00012528,3.2
-0.000124224,3.2
-0.000124192,3.28
-0.000122624,3.28
-0.000119392,3.28
-0.000114528,3.28
-0.000114496,3.36
-0.0001128,3.36
-0.000112768,2.8
-0.000112736,2.4
-0.000112704,2.0
-0.000112672,1.6
-0.00011264,1.28
-0.000112608,0.96
