TIME,CH1
-0.000543968,0.08
-0.000542592,0.24
-0.00053536,0.08
-0.000534528,0.24
-0.000531712,0.08
-0.00053168,0.24
-0.000530112,0.08
-0.000528672,0.24
-0.000521312,0.08
-0.000519872,0.24
-0.000518272,0.08
-0.0005176,0.24
-0.000516256,0.08
-0.000516032,0.24
-0.000514784,0.08
-0.000512448,0.24
-0.000510432,0.08
-0.000509856,0.24
-0.000507744,0.08
-0.000501952,0.24
-0.00050016,0.08
-0.000500128,0.16
-0.00049904,0.08
-0.000499008,0.16
-0.000497216,0.08
-0.000497184,0.16
-0.00049344,0.08
-0.000493408,0.16
-0.000491552,0.08
-0.00049152,0.16
-0.000489504,0.08
-0.000489472,0.16
-0.000485408,0.08
-0.000479392,0.16
-0.00047936,0.08
-0.000477792,0.24
-0.000473376,0.08
-0.000473024,0.24
-0.000465248,0.08
-0.000457568,0.24
-0.000457248,0.08
-0.000456384,0.24
-0.000453696,0.08
-0.000452928,0.24
-0.000446976,0.08
-0.000443872,0.24
-0.000438336,0.08
-0.00043776,0.24
-0.000433056,0.08
-0.000431968,0.24
-0.000419776,0.08
-0.000419648,0.24
-0.000416768,0.08
-0.000415264,0.24
-0.000413984,0.08
-0.000413952,0.24
-0.00040896,0.08
-0.000407168,0.24
-0.000406272,0.08
-0.000404288,0.24
-0.00039968,0.08
-0.000398912,0.24
-0.000397216,0.08
-0.000397088,0.24
-0.0003896,0.08
-0.000382848,0.24
-0.000382592,0.08
-0.000382464,0.24
-0.000381504,0.08
-0.000381088,0.24
-0.000380928,0.08
-0.000380896,0.16
-0.000379936,0.08
-0.000379904,0.16
-0.000378688,0.08
-0.000378656,0.16
-0.000377856,0.08
-0.000368384,0.16
-0.000368352,0.08
-0.000367232,0.24
-0.000364928,0.08
-0.000361856,0.24
-0.000359104,0.08
-0.000354304,0.24
-0.000352832,0.08
-0.000351424,0.24
-0.00034752,0.08
-0.000344192,0.24
-0.000342496,0.08
-0.000335424,0.24
-0.000333728,0.08
-0.000332736,0.24
-0.000331584,0.08
-0.000330272,0.24
-0.000329824,0.08
-0.000327488,0.24
-0.000326336,0.08
-0.000325088,0.24
-0.0003248,0.08
-0.00032448,0.24
-0.000323936,0.08
-0.000320704,0.24
-0.00031872,0.08
-0.000316224,0.24
-0.000316064,0.08
-0.000315584,0.24
-0.000310016,0.08
-0.000309408,0.24
-0.000304992,0.08
-0.00030112,0.24
-0.000299392,0.08
-0.000295264,0.24
-0.000294848,0.08
-0.000286048,0.24
-0.000285408,0.08
-0.000285024,0.24
-0.000283104,0.08
-0.000283072,0.16
-0.000282048,0.08
-0.000282016,0.16
-0.000278976,0.08
-0.000278944,0.16
-0.000278496,0.08
-0.000278464,0.16
-0.00027808,0.08
-0.000278048,0.16
-0.000276992,0.08
-0.000267968,0.16
-0.000267936,0.08
-0.000264736,0.24
-0.000263552,0.08
-0.000262144,0.24
-0.000256128,0.08
-0.000255584,0.24
-0.000251392,0.08
-0.000249472,0.24
-0.000245504,0.08
-0.000244416,0.24
-0.000239168,0.08
-0.000237824,0.24
-0.000235872,0.08
-0.000226688,0.24
-0.00022608,0.08
-0.000224512,0.24
-0.000218016,0.08
-0.000216928,0.24
-0.000216576,0.08
-0.000215808,0.24
-0.000214528,0.08
-0.00021264,0.24
-0.000212224,0.08
-0.00020832,0.24
-0.000206496,0.08
-0.000202112,0.24
-0.00020064,0.08
-0.000197184,0.24
-0.000190944,0.08
-0.0001816,2.96
-0.000180384,0.08
-0.000172864,2.96
-0.000171776,0.08
-0.000155712,2.96
-0.000154784,0.08
-0.000146848,2.96
-0.000146208,0.08
-0.000129632,2.96
-0.000128736,0.08
-0.000120768,2.96
-0.000120192,0.08
-0.00010416,2.88
-9.7824e-05,0.08
-9.4688e-05,2.96
-9.4144e-05,0.08
-7.8368e-05,2.88
-7.6704e-05,0.08
-6.912e-05,2.88
-6.8064e-05,0.08
-5.2032e-05,2.88
-5.0624e-05,0.08
-4.2944e-05,2.88
-4.192e-05,0.08
-2.6464e-05,2.88
-2.4544e-05,0.08
-1.6736e-05,2.88
-1.5968e-05,0.08
3.2e-07,2.88
4.16e-06,-4.76837e-09
4.704e-06,0.16
9.632e-06,-4.76837e-09
9.92e-06,0.16
1.4784e-05,-4.76837e-09
1.4816e-05,0.16
1.4848e-05,0.08
1.5104e-05,0.16
1.5136e-05,0.08
1.5168e-05,0.16
1.52e-05,0.08
1.6e-05,0.16
1.6032e-05,0.08
1.8336e-05,0.16
1.8368e-05,0.08
1.9072e-05,0.16
1.9104e-05,0.08
1.9904e-05,0.16
1.9936e-05,0.08
2.016e-05,0.16
3.008e-05,0.08
3.0112e-05,0.16
3.1328e-05,-4.76837e-09
3.1424e-05,0.16
